dir=0 x=0, y= 1 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 89
dir=2 x=7, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 53
dir=3 x=7, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 53
dir=2 x=7, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 53
dir=1 x=6, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 53
dir=2 x=6, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 53
dir=2 x=6, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 53
dir=3 x=6, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 53
dir=2 x=6, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 53
dir=1 x=5, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 53
dir=2 x=5, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 53
dir=2 x=4, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 52
dir=3 x=4, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 52
dir=2 x=4, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 52
dir=1 x=3, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 51
dir=2 x=3, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 51
dir=2 x=3, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 51
dir=3 x=3, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 51
dir=2 x=3, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 51
dir=1 x=2, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 51
dir=2 x=2, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 51
dir=2 x=2, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 51
dir=3 x=2, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 51
dir=2 x=2, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 51
dir=1 x=1, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 51
dir=1 x=1, y= 26 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 50
dir=1 x=1, y= 27 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 49
dir=2 x=1, y= 27 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 49
dir=1 x=1, y= 27 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 49
dir=0 x=1, y= 28 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 48
dir=1 x=1, y= 28 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 48
dir=1 x=1, y= 29 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 47
dir=2 x=1, y= 29 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 47
dir=1 x=1, y= 29 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 47
dir=0 x=1, y= 30 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 47
dir=1 x=1, y= 30 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 47
dir=1 x=1, y= 30 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 47
dir=2 x=1, y= 30 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 47
dir=1 x=1, y= 30 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 47
dir=0 x=1, y= 31 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 47
dir=0 x=2, y= 31 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 46
dir=0 x=3, y= 31 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 45
dir=1 x=3, y= 31 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 45
dir=0 x=3, y= 31 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 45
dir=3 x=4, y= 31 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 44
dir=0 x=4, y= 31 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 44
dir=0 x=5, y= 31 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 43
dir=1 x=5, y= 31 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 43
dir=0 x=5, y= 31 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 43
dir=3 x=6, y= 31 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 43
dir=0 x=6, y= 31 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 43
dir=0 x=6, y= 31 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 43
dir=1 x=6, y= 31 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 43
dir=0 x=6, y= 31 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 43
dir=3 x=7, y= 31 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 43
dir=3 x=7, y= 30 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 42
dir=3 x=7, y= 29 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 41
dir=0 x=7, y= 29 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 41
dir=3 x=7, y= 29 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 41
dir=2 x=7, y= 28 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 41
dir=3 x=7, y= 28 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 41
dir=3 x=7, y= 28 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 41
dir=0 x=7, y= 28 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 41
dir=0 x=7, y= 28 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 41
dir=3 x=8, y= 28 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 40
dir=0 x=8, y= 28 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 40
dir=0 x=9, y= 28 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 39
dir=1 x=9, y= 28 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 39
dir=0 x=9, y= 28 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 39
dir=3 x=10, y= 28 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 38
dir=0 x=10, y= 28 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 38
dir=0 x=11, y= 28 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 37
dir=1 x=11, y= 28 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 37
dir=0 x=11, y= 28 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 37
dir=3 x=12, y= 28 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 36
dir=0 x=12, y= 28 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 36
dir=0 x=13, y= 28 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 35
dir=1 x=13, y= 28 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 35
dir=0 x=13, y= 28 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 35
dir=3 x=14, y= 28 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 34
dir=0 x=14, y= 28 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 34
dir=0 x=14, y= 28 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 34
dir=1 x=14, y= 28 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 34
dir=0 x=14, y= 28 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 34
dir=3 x=15, y= 28 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 34
dir=0 x=15, y= 28 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 34
dir=0 x=15, y= 28 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 34
dir=1 x=15, y= 28 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 34
dir=0 x=15, y= 28 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 34
dir=3 x=16, y= 28 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 34
dir=3 x=16, y= 27 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 33
dir=3 x=16, y= 26 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 32
dir=0 x=16, y= 26 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 32
dir=3 x=16, y= 26 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 32
dir=2 x=16, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 31
dir=3 x=16, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 31
dir=3 x=16, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 31
dir=0 x=16, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 31
dir=3 x=16, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 31
dir=2 x=16, y= 24 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 31
dir=3 x=16, y= 24 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 31
dir=3 x=16, y= 24 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 31
dir=0 x=16, y= 24 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 31
dir=3 x=16, y= 24 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 31
dir=2 x=16, y= 23 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 31
dir=3 x=16, y= 23 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 31
dir=3 x=16, y= 22 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 30
dir=0 x=16, y= 22 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 30
dir=3 x=16, y= 22 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 30
dir=2 x=16, y= 21 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 29
dir=3 x=16, y= 21 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 29
dir=3 x=16, y= 20 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 28
dir=0 x=16, y= 20 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 28
dir=3 x=16, y= 20 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 28
dir=2 x=16, y= 19 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 27
dir=3 x=16, y= 19 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 27
dir=3 x=16, y= 19 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 27
dir=0 x=16, y= 19 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 27
dir=3 x=16, y= 19 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 27
dir=2 x=16, y= 18 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 27
dir=3 x=16, y= 18 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 27
dir=3 x=16, y= 18 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 27
dir=0 x=16, y= 18 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 27
dir=3 x=16, y= 18 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 27
dir=2 x=16, y= 17 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 27
dir=3 x=16, y= 17 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 27
dir=3 x=16, y= 17 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 27
dir=0 x=16, y= 17 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 27
dir=3 x=16, y= 17 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 27
dir=2 x=16, y= 16 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 27
dir=3 x=16, y= 16 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 27
dir=3 x=16, y= 16 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 27
dir=0 x=16, y= 16 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 27
dir=0 x=16, y= 16 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 27
dir=3 x=17, y= 16 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 26
dir=0 x=17, y= 16 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 26
dir=0 x=17, y= 16 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 26
dir=1 x=17, y= 16 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 26
dir=0 x=17, y= 16 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 26
dir=3 x=18, y= 16 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 26
dir=0 x=18, y= 16 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 26
dir=0 x=18, y= 16 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 26
dir=1 x=18, y= 16 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 26
dir=0 x=18, y= 16 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 26
dir=3 x=19, y= 16 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 26
dir=0 x=19, y= 16 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 26
dir=0 x=19, y= 16 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 26
dir=1 x=19, y= 16 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 26
dir=0 x=19, y= 16 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 26
dir=3 x=20, y= 16 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 26
dir=3 x=20, y= 15 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 25
dir=3 x=20, y= 14 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 24
dir=0 x=20, y= 14 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 24
dir=3 x=20, y= 14 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 24
dir=2 x=20, y= 13 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 24
dir=3 x=20, y= 13 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 24
dir=3 x=20, y= 13 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 24
dir=0 x=20, y= 13 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 24
dir=3 x=20, y= 13 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 24
dir=2 x=20, y= 12 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 24
dir=3 x=20, y= 12 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 24
dir=3 x=20, y= 11 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 23
dir=0 x=20, y= 11 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 23
dir=3 x=20, y= 11 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 23
dir=2 x=20, y= 10 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 22
dir=3 x=20, y= 10 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 22
dir=3 x=20, y= 9 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 21
dir=0 x=20, y= 9 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 21
dir=3 x=20, y= 9 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 21
dir=2 x=20, y= 8 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 20
dir=3 x=20, y= 8 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 20
dir=3 x=20, y= 8 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 20
dir=0 x=20, y= 8 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 20
dir=3 x=20, y= 8 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 20
dir=2 x=20, y= 7 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 20
dir=3 x=20, y= 7 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 20
dir=3 x=20, y= 7 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 20
dir=0 x=20, y= 7 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 20
dir=3 x=20, y= 7 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 20
dir=2 x=20, y= 6 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 20
